id,store_id,num,name,month,week,day,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,created_at,updated_at
30,1,2,TURNO 2 DE 45 HORAS,10,1,2,f,f,f,f,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:27.864066,2018-11-19 14:08:27.864066
31,1,2,TURNO 2 DE 45 HORAS,10,1,3,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:27.915323,2018-11-19 14:08:27.915323
32,1,2,TURNO 2 DE 45 HORAS,10,1,4,f,f,f,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:27.949838,2018-11-19 14:08:27.949838
33,1,2,TURNO 2 DE 45 HORAS,10,1,5,f,f,f,t,t,t,t,t,t,f,f,t,f,f,f,f,2018-11-19 14:08:27.982095,2018-11-19 14:08:27.982095
34,1,2,TURNO 2 DE 45 HORAS,10,1,6,f,f,f,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:28.017629,2018-11-19 14:08:28.017629
35,1,2,TURNO 2 DE 45 HORAS,10,1,7,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:28.061133,2018-11-19 14:08:28.061133
36,1,2,TURNO 2 DE 45 HORAS,10,2,1,f,f,f,t,t,t,t,t,t,f,f,f,f,f,f,f,2018-11-19 14:08:28.082171,2018-11-19 14:08:28.082171
37,1,2,TURNO 2 DE 45 HORAS,10,2,2,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.120327,2018-11-19 14:08:28.120327
38,1,2,TURNO 2 DE 45 HORAS,10,2,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:28.165264,2018-11-19 14:08:28.165264
39,1,2,TURNO 2 DE 45 HORAS,10,2,4,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.181144,2018-11-19 14:08:28.181144
40,1,2,TURNO 2 DE 45 HORAS,10,2,5,f,f,t,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.212504,2018-11-19 14:08:28.212504
41,1,2,TURNO 2 DE 45 HORAS,10,2,6,f,f,t,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.265955,2018-11-19 14:08:28.265955
42,1,2,TURNO 2 DE 45 HORAS,10,2,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:28.280799,2018-11-19 14:08:28.280799
43,1,2,TURNO 2 DE 45 HORAS,10,3,1,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.298792,2018-11-19 14:08:28.298792
44,1,2,TURNO 2 DE 45 HORAS,10,3,2,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.334619,2018-11-19 14:08:28.334619
45,1,2,TURNO 2 DE 45 HORAS,10,3,3,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.365938,2018-11-19 14:08:28.365938
46,1,2,TURNO 2 DE 45 HORAS,10,3,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:28.39328,2018-11-19 14:08:28.39328
47,1,2,TURNO 2 DE 45 HORAS,10,3,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:28.428314,2018-11-19 14:08:28.428314
48,1,2,TURNO 2 DE 45 HORAS,10,3,6,f,f,f,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.448089,2018-11-19 14:08:28.448089
49,1,2,TURNO 2 DE 45 HORAS,10,3,7,f,f,f,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.466523,2018-11-19 14:08:28.466523
50,1,2,TURNO 2 DE 45 HORAS,10,4,1,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.49922,2018-11-19 14:08:28.49922
51,1,2,TURNO 2 DE 45 HORAS,10,4,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:28.528124,2018-11-19 14:08:28.528124
52,1,2,TURNO 2 DE 45 HORAS,10,4,3,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.545312,2018-11-19 14:08:28.545312
53,1,2,TURNO 2 DE 45 HORAS,10,4,4,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:28.565213,2018-11-19 14:08:28.565213
54,1,2,TURNO 2 DE 45 HORAS,10,4,5,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:28.598449,2018-11-19 14:08:28.598449
55,1,2,TURNO 2 DE 45 HORAS,10,4,6,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:28.626717,2018-11-19 14:08:28.626717
56,1,2,TURNO 2 DE 45 HORAS,10,4,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:28.648844,2018-11-19 14:08:28.648844
57,1,3,TURNO 3 DE 45 HORAS,10,1,1,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:28.681431,2018-11-19 14:08:28.681431
58,1,3,TURNO 3 DE 45 HORAS,10,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:28.708573,2018-11-19 14:08:28.708573
59,1,3,TURNO 3 DE 45 HORAS,10,1,3,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.733611,2018-11-19 14:08:28.733611
60,1,3,TURNO 3 DE 45 HORAS,10,1,4,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:28.788903,2018-11-19 14:08:28.788903
61,1,3,TURNO 3 DE 45 HORAS,10,1,5,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:28.836979,2018-11-19 14:08:28.836979
62,1,3,TURNO 3 DE 45 HORAS,10,1,6,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:28.882737,2018-11-19 14:08:28.882737
63,1,3,TURNO 3 DE 45 HORAS,10,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:28.93169,2018-11-19 14:08:28.93169
64,1,3,TURNO 3 DE 45 HORAS,10,2,1,f,f,t,t,t,t,t,t,t,f,f,f,f,f,f,f,2018-11-19 14:08:28.966716,2018-11-19 14:08:28.966716
65,1,3,TURNO 3 DE 45 HORAS,10,2,2,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.009216,2018-11-19 14:08:29.009216
66,1,3,TURNO 3 DE 45 HORAS,10,2,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:29.041927,2018-11-19 14:08:29.041927
67,1,3,TURNO 3 DE 45 HORAS,10,2,4,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.119055,2018-11-19 14:08:29.119055
68,1,3,TURNO 3 DE 45 HORAS,10,2,5,f,f,t,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.166598,2018-11-19 14:08:29.166598
69,1,3,TURNO 3 DE 45 HORAS,10,2,6,f,f,t,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.197319,2018-11-19 14:08:29.197319
